From,To,Volume,Cost
87,633,5977.54,0.0345068
88,634,4579.16,0.0345068
89,635,2370.39,0.0345068
90,636,2212.55,0.0345068
91,637,7079.22,0.0345068
92,638,1746.5,0.0345068
93,639,4363.86,0.0345068
94,640,471.02,0.0345068
95,641,2752.81,0.0345068
96,642,587.41,0.0345068
97,643,6304.83,0.0345068
98,644,8436.92,0.0345068
99,645,4527.16,0.0345068
100,646,3592.63,0.0345068
101,647,3144.71,0.0345068
102,648,3681.72,0.0345068
103,649,1743.13,0.0345068
104,650,3100.18,0.0345068
105,651,983.63,0.0345068
106,652,3859.91,0.0345068
107,653,3630.97,0.0345068
108,654,3769.1,0.0345068
109,655,3028.1,0.0345068
110,656,5660.6,0.0345068
111,657,5463.48,0.0345068
112,658,3659.23,0.0345068
113,659,3784.73,0.0345068
114,660,2147.45,0.0345068
115,661,4043.61,0.0345068
116,662,2374.71,0.0345068
117,663,824.08,0.0345068
118,664,4286.07,0.0345068
119,665,1278.87,0.0345068
120,666,1507.37,0.0345068
121,667,3785.82,0.0345068
122,668,1943.73,0.0345068
123,669,4281.93,0.0345068
124,670,1800.85,0.0345068
125,671,2224.15,0.0345068
126,672,507.29,0.0345068
127,673,2137.82,0.0345068
128,674,864.15,0.0345068
129,675,3848.75,0.0345068
130,676,2993.41,0.0345068
131,677,5005.8,0.0345068
132,678,3968.5,0.0345068
133,679,5192.12,0.0345068
134,680,3356.65,0.0345068
135,681,5479.75,0.0345068
136,682,6391.22,0.0345068
137,683,2348.41,0.0345068
138,684,1466.59,0.0345068
139,685,1631.54,0.0345068
140,686,1097.23,0.0345068
141,687,5293.44,0.0345068
142,688,5106.13,0.0345068
143,689,4074.25,0.0345068
144,690,3079.56,0.0345068
145,691,7191.34,0.0345068
146,692,6930.25,0.0345068
147,693,6262.2,0.0345068
148,694,6643.95,0.0345068
149,695,4165.68,0.0345068
150,696,1467.5,0.0345068
151,697,1718.33,0.0345068
152,698,2461.4,0.0345068
153,699,4432.8,0.0345068
154,700,5126.12,0.0345068
155,701,4469.1,0.0345068
156,702,4347.7,0.0345068
157,703,5850.4,0.0345068
158,704,6246.55,0.0345068
159,705,4582.57,0.0345068
160,706,5079.87,0.0345068
161,707,1761.8,0.0345068
162,708,642.7,0.0345068
163,709,417.93,0.0345068
164,710,2482.86,0.0345068
165,711,461.78,0.0345068
166,712,2412.98,0.0345068
167,713,1155.62,0.0345068
168,714,264.04,0.0345068
169,715,559.09,0.0345068
170,716,5259.08,0.0345068
171,717,1094.69,0.0345068
172,718,3031.33,0.0345068
173,719,605.11,0.0345068
174,720,331.34,0.0345068
175,721,1238.69,0.0345068
176,722,808.62,0.0345068
177,723,420.73,0.0345068
178,724,2566.03,0.0345068
179,725,1755.87,0.0345068
180,726,298.39,0.0345068
181,727,646.97,0.0345068
182,728,2277.01,0.0345068
183,729,1200.82,0.0345068
184,730,1465.93,0.0345068
185,731,949.58,0.0345068
186,732,465.52,0.0345068
187,733,939.16,0.0345068
188,734,3028.51,0.0345068
189,735,3603.24,0.0345068
190,736,4935.73,0.0345068
191,737,3814.16,0.0345068
192,738,1246.07,0.0345068
193,739,153.9,0.0345068
194,740,1290.23,0.0345068
195,741,898.9,0.0345068
196,742,726.61,0.0345068
197,743,736.44,0.0345068
198,744,2458.04,0.0345068
199,745,2992.59,0.0345068
200,746,2581.7,0.0345068
201,747,1119.27,0.0345068
202,748,1663.53,0.0345068
203,749,1544.79,0.0345068
204,750,1974.16,0.0345068
205,751,2040.23,0.0345068
206,752,708.4,0.0345068
207,753,2007.85,0.0345068
208,754,1498.44,0.0345068
209,755,4461.61,0.0345068
210,756,6121.12,0.0345068
211,757,2102.28,0.0345068
212,758,502.12,0.0345068
213,759,126.52,0.0345068
214,760,1431.55,0.0345068
215,761,206.38,0.0345068
216,762,1295.57,0.0345068
217,763,1746.9,0.0345068
218,764,1363.28,0.0345068
219,765,4045.68,0.0345068
220,766,4393.47,0.0345068
221,767,2514.07,0.0345068
222,768,2874.95,0.0345068
223,769,857.32,0.0345068
224,770,1427.07,0.0345068
225,771,1073.85,0.0345068
226,772,2127.05,0.0345068
227,773,1039.26,0.0345068
228,774,2222.68,0.0345068
229,775,2353,0.0345068
230,776,3012.15,0.0345068
231,777,3206.53,0.0345068
232,778,3918.54,0.0345068
233,779,4034.17,0.0345068
234,780,946.65,0.0345068
235,781,242.1,0.0345068
236,782,372.76,0.0345068
237,783,818.47,0.0345068
238,784,302.22,0.0345068
239,785,536.33,0.0345068
240,786,339.32,0.0345068
241,787,1210.35,0.0345068
242,788,365.56,0.0345068
243,789,617.43,0.0345068
244,790,1914.59,0.0345068
245,791,907.96,0.0345068
246,792,1198.45,0.0345068
247,793,1054.25,0.0345068
248,794,377.99,0.0345068
249,795,2428.98,0.0345068
250,796,614.46,0.0345068
251,797,284.22,0.0345068
252,798,661.43,0.0345068
253,799,1412.14,0.0345068
254,800,931.13,0.0345068
255,801,303.36,0.0345068
256,802,488.35,0.0345068
257,803,1509.3,0.0345068
258,804,1721.65,0.0345068
259,805,3051.78,0.0345068
260,806,1552.8,0.0345068
261,807,1279.65,0.0345068
262,808,1412.71,0.0345068
263,809,952.35,0.0345068
264,810,343.12,0.0345068
265,811,127.68,0.0345068
266,812,136.32,0.0345068
267,813,3204.09,0.0345068
268,814,1973.38,0.0345068
269,815,1385.02,0.0345068
270,816,1044.27,0.0345068
271,817,470.37,0.0345068
272,818,579.33,0.0345068
273,819,1450.96,0.0345068
274,820,198.1,0.0345068
275,821,1335.31,0.0345068
276,822,547.15,0.0345068
277,823,1442.35,0.0345068
278,824,1129.8,0.0345068
279,825,1357.68,0.0345068
280,826,677.39,0.0345068
281,827,358.8,0.0345068
282,828,200.75,0.0345068
283,829,2015.68,0.0345068
284,830,463.53,0.0345068
285,831,666.98,0.0345068
286,832,302.77,0.0345068
287,833,3515.18,0.0345068
288,834,5301.06,0.0345068
289,835,1088.32,0.0345068
290,836,854.68,0.0345068
291,837,816.03,0.0345068
292,838,725.78,0.0345068
293,839,623.8,0.0345068
294,840,686.65,0.0345068
295,841,841.94,0.0345068
296,842,1250.26,0.0345068
297,843,914.27,0.0345068
298,844,503.65,0.0345068
299,845,916.1,0.0345068
300,846,408.64,0.0345068
301,847,517.52,0.0345068
302,848,245.97,0.0345068
303,849,1596.83,0.0345068
304,850,655.43,0.0345068
305,851,1378.39,0.0345068
306,852,212.46,0.0345068
307,853,339.77,0.0345068
308,854,334.28,0.0345068
309,855,934.64,0.0345068
310,856,101.96,0.0345068
311,857,105.75,0.0345068
312,858,517.31,0.0345068
313,859,223.82,0.0345068
314,860,498.87,0.0345068
315,861,85.96,0.0345068
316,862,747.15,0.0345068
317,863,181.85,0.0345068
318,864,1006.29,0.0345068
319,865,993.22,0.0345068
320,866,2892.83,0.0345068
321,867,391.81,0.0345068
322,868,563.96,0.0345068
323,869,150.39,0.0345068
324,870,202.41,0.0345068
325,871,104.28,0.0345068
326,872,123.6,0.0345068
327,873,61.68,0.0345068
328,874,565.55,0.0345068
329,875,664.71,0.0345068
330,876,240.89,0.0345068
331,877,1431.9,0.0345068
332,878,893.26,0.0345068
333,879,81.21,0.0345068
334,880,176.12,0.0345068
335,881,572.12,0.0345068
336,882,57.25,0.0345068
337,883,72.06,0.0345068
338,884,332.98,0.0345068
339,885,108.84,0.0345068
340,886,595.99,0.0345068
341,887,90.26,0.0345068
342,888,283.7,0.0345068
343,889,134.72,0.0345068
344,890,143.51,0.0345068
345,891,559.09,0.0345068
346,892,2350.05,0.0345068
347,893,336.22,0.0345068
348,894,373.53,0.0345068
349,895,147.2,0.0345068
350,896,220.11,0.0345068
351,897,1808.79,0.0345068
352,898,635.16,0.0345068
353,899,308.99,0.0345068
354,900,244.47,0.0345068
355,901,214.17,0.0345068
356,902,13757.49,0.0345068
357,903,11567.12,0.0345068
358,904,4112.35,0.0345068
359,905,5339.23,0.0345068
360,906,4187.49,0.0345068
361,907,951.47,0.0345068
362,908,2617.38,0.0345068
363,909,557.52,0.0345068
364,910,512.17,0.0345068
365,911,878.67,0.0345068
366,912,187.5,0.0345068
367,913,2492.67,0.0345068
368,914,1177.93,0.0345068
369,915,309.67,0.0345068
370,916,606.67,0.0345068
371,917,586.49,0.0345068
372,918,637.18,0.0345068
373,919,1254.53,0.0345068
374,920,1520.75,0.0345068
375,921,921.25,0.0345068
376,922,5561.29,0.0345068
377,923,1661,0.0345068
378,924,189,0.0345068
379,925,1280,0.0345068
380,926,484,0.0345068
381,927,1903,0.0345068
382,928,1555,0.0345068
383,929,724,0.0345068
384,930,0,0.0345068
385,931,157,0.0345068
386,932,22,0.0345068
387,933,5837,0.0345068
388,390,1511.7,11.62976327
388,391,1959.43,6.322400056
388,708,218.11,2.972607928
388,802,274.86,4.957302967
389,390,199.21,4.52904764
389,801,125.53,9.880396735
389,914,269.44,4.092156145
390,388,1446.21,11.62036467
390,389,131.7,4.52821825
390,925,1413,7.240021869
391,388,1609,6.27435029
391,392,2914.31,4.706628778
391,709,627.08,0.580924966
391,715,511.6,6.549461636
392,391,1903.72,4.457752345
392,393,4023.007751,3.325694947
392,713,1161.32874,1.403484581
392,717,662.7,3.130399926
393,392,2868.88,2.830690381
393,394,5386.728259,4.235558788
393,712,2396.075038,2.814703307
393,716,3038.241892,2.053797504
394,393,3286.565877,3.640228978
394,395,4806.197275,2.820220937
394,584,558.9587031,6.325255972
394,601,666.9804593,2.603688323
395,394,2710.45,2.541659527
395,396,5624.92251,4.661229611
395,584,1068.01752,4.040000598
395,600,2179.059541,1.423837875
396,395,2514.34,3.819299446
396,397,5624.92251,2.695061866
397,396,2514.34,2.208357031
397,398,7113.880255,3.897697125
397,588,1774.12,3.175444514
397,604,3836.053302,1.837470872
398,397,4863.603302,2.764015707
398,399,7003.439929,1.160830145
398,400,3372.943518,2.211181019
398,403,7319.326148,3.493855622
399,398,4331.782355,0.805964148
399,537,6229.823658,5.984616414
399,604,3992.221057,3.440656434
399,609,7844.242642,1.142714521
400,398,5275.680328,2.325584144
400,401,2158.67629,4.249536166
400,587,1214.267228,5.511851355
400,609,0,6.8203076
401,400,4084.494555,4.501425692
401,402,0,1.750016
401,585,4301.166448,1.807359895
401,590,6671.175679,2.313746728
402,401,0,1.750016
403,398,5837.969959,3.30240678
403,404,7540.550834,4.265842207
403,606,1630.6,3.483011176
403,611,2025.340891,3.179181926
404,403,6323.059943,3.818070398
404,405,8560.333665,2.439885324
404,675,1894.153096,3.20835328
404,680,7099.628496,1.863334015
405,404,7785.425986,2.012508669
405,406,2293.016904,2.634252924
405,488,6267.316761,1.422103317
406,405,3832.626043,2.748480352
406,407,3567.556543,3.56070785
406,677,2522.536904,2.18279057
406,682,3671.71417,3.362786861
407,406,4761.688707,3.840422052
407,408,5004.366777,3.856958875
407,687,3989.217297,1.779217023
407,692,6988.4368,3.063295113
408,407,5713.002563,4.198660334
408,409,2927.306197,2.284821063
408,689,1366.53,2.303575746
408,694,3302.61058,4.547467614
409,408,3693.446774,2.343495441
409,410,3676.961914,4.245622753
409,538,4306.955437,1.647729197
409,539,7052.931058,4.66065118
410,409,5576.763219,4.985502968
410,411,3660.714714,3.327920026
410,690,1606.942783,3.193767181
410,700,3226.926419,2.223510793
411,410,4918.768877,4.431185283
411,412,3347.522003,3.190195531
411,685,3842.08,3.233433599
411,695,3636.632915,1.086527568
412,411,4502.558049,3.96907696
412,413,3347.522003,3.052520334
413,412,4502.558049,3.797165217
413,414,2913.12,2.920951291
413,730,2663.96,3.57566648
413,734,2971.732003,0.704586398
414,413,4179.028965,3.531116281
414,415,545.58,4.275313109
414,731,1275.29,3.426723029
414,735,2842.16,0.600695826
415,414,1156.13,4.282271998
415,416,744.35,5.917938246
415,727,435.23,4.969958161
415,733,804.5,3.081513546
416,415,1591.59,5.952567031
416,417,681.28,5.374871793
416,726,186.14,1.621820932
416,732,60.47,5.438055462
417,416,1442.75,5.396067205
417,732,240.35,10.16792002
417,913,575.77,3.575463396
417,926,371,6.550925515
418,419,3647.465662,5.714128461
418,921,805.94,3.968786753
418,922,1202.372038,5.033582964
418,923,1517,9.407081791
419,418,1794.27,5.503372305
419,420,4493.735662,5.100029781
419,739,330.31,5.208297421
419,743,256.0913195,1.505290714
420,419,2129.29,4.68461171
420,421,4941.213066,3.879532637
420,751,1217.98,2.680513697
420,752,1508.472596,1.732382075
421,420,2247.81,3.428993512
421,422,5482.391226,4.425438095
421,753,2251.998521,1.225623451
421,754,1025.13,2.963014201
422,421,2251.275931,3.681839703
422,423,6577.998011,4.619829156
422,762,1339.007525,1.313910255
422,766,1071.184125,4.444967668
423,422,3045.153456,3.286527278
423,424,6291.60789,4.84384866
423,764,1979.829333,2.010601793
423,767,843.89,4.530229154
424,423,3034.043456,3.623718564
424,425,6449.028678,4.806799679
424,773,1069.51984,1.582426721
424,777,1097.65,4.663206779
425,424,3146.053456,3.510527822
425,426,7059.698678,2.790854928
425,775,1753.85016,2.91141902
425,779,2679.62222,2.264807917
426,425,4361.623456,1.919962761
426,427,4322.81,1.535633958
426,441,4913.954939,5.670604761
427,426,4045.322544,1.445327594
427,428,3630.744554,4.237640458
427,594,4743.858155,1.505028096
427,779,1790.91778,2.754675929
428,427,2618.628991,3.794194081
428,429,1949.88,0.818550553
428,431,5854.574554,1.371433846
429,428,3514.622709,0.926247553
429,430,0,0.6540312
429,593,1678.167291,2.431611657
429,778,2493.04,2.874868351
430,429,0,0.6540312
431,428,3277.716282,1.107001121
431,432,6678.074554,5.329027776
431,593,2696.5,1.336622025
431,597,524.98,3.007271114
432,431,5222.946282,4.277496054
432,433,6303.318452,3.707826072
432,595,1652.955472,3.235272847
432,599,3869.337856,1.501595461
433,432,5135.795472,3.152656302
433,434,6105.057714,3.213981755
433,616,4409.223906,3.535640373
433,617,1550.932043,1.53073303
434,433,5029.036563,2.791243116
434,435,5500.356611,3.848629728
434,618,1875.246094,4.2479744
434,619,7479.227821,0.721975329
435,434,5171.576563,3.70127422
435,436,6595.796611,2.863560533
435,552,5967.093847,1.35513502
435,554,3624.346459,4.248480424
436,435,6625.287909,2.87926343
436,437,7425.640255,5.437721826
436,496,14062.60798,1.970093074
437,436,7466.811365,5.487982286
437,438,6664.289573,6.251855698
437,554,5225.943324,0.932437867
437,556,2084.566183,7.392302264
438,437,6673.113941,6.262256798
438,439,4373.961462,2.698665089
438,535,4525.563172,8.741610901
438,536,6137.209727,2.90278858
438,540,5205.845838,2.973634154
439,438,5381.05504,2.970778936
439,440,5632.309431,3.233771463
439,614,4874.145487,2.991203524
439,615,6106.210459,2.283214426
440,439,6810.632332,3.929136046
440,441,4080.682674,2.902654675
440,612,2353.87,3.493329364
440,613,2316.90567,2.422388466
441,426,2493.367173,5.040813052
441,440,5627.16424,3.360516204
441,591,4605.073289,3.430892777
441,596,8066.71347,1.125251514
442,443,665.75,3.74785295
442,898,95.66,6.7413419
442,899,116.37,2.842999546
442,929,653,7.626418836
443,442,565.77,3.747515683
443,444,956.98,4.634883102
443,897,1037.8,4.959561501
443,898,308.87,4.219801114
444,443,859.14,4.633575854
444,445,956.98,5.2213654
445,444,859.14,5.219896582
445,446,1392.96,6.566057753
445,885,70.45,6.559481137
445,886,269.21,1.116526466
446,445,898.71,6.546550109
446,447,1680.45,6.077582898
446,858,245.11,2.46675305
446,859,67.22,5.399787603
447,446,957.03,6.036356333
447,448,2083.251359,4.227828263
447,848,262.41,5.74254953
447,849,622.2112733,1.956638227
448,447,1130.42,4.159392231
448,449,3369.331359,3.501011852
448,664,2045.248727,2.938721745
448,665,1137.76,1.198239381
449,448,2083.15,3.414384063
449,450,2995.083734,2.111825767
449,662,617.2,3.01930364
449,663,1340.612153,1.479977554
450,449,1616.57,2.076478078
450,451,2841.747846,1.514927227
450,453,2686.015888,4.779202501
450,508,2532.02,3.978267505
451,450,1504.92,1.494161868
451,452,3902.407846,2.381376427
451,654,1390.68,1.891885595
451,655,1914.958085,2.53710787
452,451,2309.162613,2.274913988
452,525,5364.637846,2.867437004
452,652,3407.01,2.274740379
452,654,3296.51,2.342207789
453,450,3069.63,4.819404516
453,454,2237.88,10.89280037
453,650,643.2158884,4.083283369
453,841,568.26,1.88017575
454,453,2465.03,11.01435857
454,455,2870.008732,3.569013259
454,838,541.7285046,2.009785815
454,840,727.2612683,2.499393612
455,454,2879.931026,3.572058312
455,456,3202.93,3.101181107
455,833,1033.38,2.791518977
455,835,570.3887317,2.897935044
456,455,3096.978505,3.065422097
456,457,2679.24,3.208286867
456,834,2088.78,2.095035219
456,836,885.57,2.455629768
457,456,2868.238505,3.255591726
457,458,2234.83,1.600700639
457,829,541.53,3.819108493
457,831,1353.50057,1.109737864
458,457,2625.43057,1.634537327
458,459,2125.13,1.491831859
458,467,2250.52,5.527260741
458,468,3107.691495,3.304860267
459,458,3057.42,1.514821394
459,460,2047.33,4.943710662
459,832,245.35,1.320991944
459,845,20.62,7.865523213
460,459,2886.97,5.185446746
460,461,2009.18,6.67399871
460,872,355.21,6.052296452
460,875,474.12,2.254099226
461,460,2578.27945,6.849656453
461,462,1742.02,5.671505845
461,874,618,2.450355209
461,877,466.88,6.030084752
462,461,2055.65,5.718096527
462,873,13.37,3.580443203
462,876,180.02,4.459745363
462,927,1569,8.136201242
463,464,1555,4.089321998
463,928,1728,16.7684017
464,463,1728,4.101287109
464,465,1596.41,7.569138895
464,883,80.16,4.031523117
464,884,28.75,3.31446602
465,464,1746.31,7.589355046
465,466,1888.34,6.053068443
465,862,213.35,4.67897972
465,881,356.01,2.541767422
466,465,1849.03,6.047180679
466,467,2184.82,5.680809276
466,855,319.47,1.754139775
466,862,331.91,5.558896928
467,458,2591.212065,5.627673509
467,466,1998.31,5.64436872
467,845,392.4994303,2.178368873
467,855,333.1,6.031970776
468,458,2225.31,3.104881916
468,469,3046.001495,3.298631037
468,829,393.74,1.39676635
468,830,264.74,2.910317359
469,468,2095.33,3.103633145
469,470,3573.071495,3.292536983
469,819,1307.73,0.36823424
469,824,532.9,4.152244871
470,469,2435.54,2.943773842
470,471,3812.421495,5.155777769
470,817,328.58,0.765815461
470,822,237.58,3.489444121
471,470,2298.57,4.400736527
471,472,4691.69,4.461130742
471,815,603.3214954,3.970629777
471,816,1179.17,0.638463545
472,471,2591.95,3.178640795
472,473,6421.83,2.526514347
472,813,1405.341597,1.474889145
472,815,1752.44,2.316617218
473,472,2912.48,1.842428462
473,474,2767.257563,3.395042985
473,475,5323.548942,3.897990255
473,707,744.5594594,4.74646095
473,813,731.65,1.531680666
474,473,1490.029459,3.353405942
474,538,4362.29,3.728200552
474,701,1060.878403,1.765017221
474,706,3929.521878,3.130434242
475,473,2350.74,3.310174123
475,476,5323.548942,2.064982699
475,706,1462.342733,3.194860027
475,707,750.3205406,1.787675659
476,475,2530.620557,1.757682331
476,477,5224.65,4.508807203
476,705,2096.778942,2.150390026
476,707,863.73,2.838928556
477,476,2717.370557,3.893897436
477,478,8020.672999,3.501717333
477,503,4763.295545,0.949787172
477,504,5836.209993,1.077551399
478,477,6402.405538,2.979097739
478,479,9252.057398,5.355742837
478,633,4085.454455,2.076062672
478,703,3661.998071,2.821857746
479,478,7233.366751,4.106097449
479,480,8016.799616,1.825093036
479,629,3013.77,2.533397201
479,693,4487.67,3.330622021
480,479,7502.879613,1.718433062
480,481,3444.052862,1.509371651
480,483,6673.821929,2.540869215
480,484,5904.663234,2.823452584
480,486,6875.043056,2.486894226
481,480,3411.171894,1.507579312
481,482,0,0.55952
481,483,3540.958264,1.736049227
481,691,6329.714626,2.838795741
482,481,0,0.55952
483,480,6681.535602,2.544573619
483,481,2885.661765,1.723718119
483,539,4820.117528,3.884499006
483,693,8650.003723,0.762499333
484,480,5634.001021,2.717113239
484,485,6375.322218,4.672105181
484,627,6782.057427,2.534282323
484,629,536.57,3.711181417
485,484,6090.378126,4.456064563
485,489,7360.373944,4.631266946
485,626,8015.959655,2.333119847
485,628,4502.673007,2.992652953
486,480,6656.95256,2.44079019
486,535,9877.717267,0.532046623
486,627,7424.061742,2.870840682
486,691,3254.6,2.465310055
487,488,4406.26,2.985894396
487,535,6176.031866,4.763549804
487,681,4009.920357,2.076859833
487,682,2840.07,3.46652909
488,405,3952.799943,1.107290865
488,487,6399.476761,3.812838035
488,680,2724.777559,3.690503498
488,682,2438.49,3.186702305
489,485,7289.62286,4.560257079
489,490,7624.142218,1.40007522
489,630,1844.34,2.780010468
489,631,1666.751727,4.333391956
490,489,6446.704734,1.252965049
490,491,8186.830735,3.691177778
490,557,3301.65,3.789800265
490,631,3127.490088,3.935191046
491,490,6829.944822,3.1831901
491,492,9107.820529,4.587527355
491,558,4801.514524,3.436791364
491,559,8431.170431,0.884248265
492,491,8406.123633,4.136996864
492,493,5999.234118,1.558842373
492,561,4852.586887,3.217045751
492,562,8986.757619,0.592551169
493,492,4445.85,1.454696068
493,494,8189.623145,3.163107321
493,497,7666.562701,2.559505254
493,562,9143.501022,1.312902878
493,564,16863.35865,1.819056711
494,493,8535.941489,3.315674063
494,495,10387.34714,3.661424862
494,561,4968.39,1.036090964
494,563,10389.49686,2.825394786
495,494,12588.75386,4.526981539
495,496,10719.5442,3.427708444
495,551,3578.09,4.868810863
495,560,5503.268452,1.018386982
496,436,14050.92816,1.967067041
496,495,11876.34491,3.819283318
496,553,5301.547607,1.477624044
496,556,4555.645365,3.934296328
497,493,9484.51494,3.315499462
497,498,7666.562701,0.874743161
498,497,9484.51494,1.131937066
498,499,4575.856609,1.531297635
498,533,6310.122511,1.873597864
499,498,5249.534123,1.634532047
499,500,5574.817762,3.602579891
499,567,9999.310519,1.716819969
499,569,6804.558593,2.392538192
500,499,7392.934023,4.980326484
500,501,5273.589185,4.412429781
500,566,5916.654472,2.697590946
500,570,4905.000238,1.674802704
501,500,6899.171879,5.705260334
501,502,3927.74,3.817021232
501,571,2672.393405,2.555809316
501,636,6226.830109,0.815474274
502,501,5484.873394,4.375734356
502,503,4024.2,4.088481895
502,632,2605.765907,4.017009097
502,634,1766.285147,5.101017101
503,477,3197.280557,0.91944758
503,502,5984.651452,4.420359524
503,504,2261.139443,0.535489204
503,633,4821.574093,3.74019856
504,477,6513.212999,1.128597816
504,503,6042.93,0.577960424
504,505,5375.379993,3.885388657
504,635,5409.229443,0.502523933
505,504,7590.136473,4.618046778
505,506,5715.999993,2.726433132
505,634,5125.241636,1.669959101
505,639,2051.86,2.480658694
506,505,8156.436956,3.409378161
506,507,4485.029993,4.443892421
506,639,1876.218087,1.839860044
506,644,4131.980353,2.867720877
507,506,5723.336956,5.07268628
507,508,3446.299993,8.409056754
507,578,0,8.2962628
507,646,2128.314947,2.438920601
508,450,2106.72,3.958746789
508,507,4402.976956,8.851912253
508,509,5033.809993,2.857056675
509,508,5565.186956,3.040493081
509,510,6275.845375,4.565856645
509,659,4022.725195,0.671068026
509,667,1138.31,5.138508908
510,509,6281.032151,4.569849364
510,511,5778.022595,0.390010813
510,658,3699.228686,0.452576555
510,666,669.95,4.169298794
511,510,6056.537484,0.406639109
511,512,6178.521708,3.065892952
511,521,2588.03,3.268298557
511,522,2446.401329,4.911273186
512,511,6293.112907,3.124849437
512,513,5501.542718,4.68726702
512,661,2119.678989,0.733756585
512,670,130.84,7.616878151
513,512,6041.677484,5.059935799
513,514,4330.679993,5.953704155
513,902,3572.962725,4.300433877
513,905,1223.56,9.376356194
514,513,4890.13,6.234208789
514,515,3250.179993,4.709757683
514,903,2130.47,2.81208377
514,905,661.98,11.54268503
515,514,3612.69,4.772222051
515,516,273.02,5.981514894
515,534,2849.739993,1.77595398
515,544,699.94,0.302269576
515,932,25,6.347704001
516,515,326,5.981522841
516,517,392.97,6.333675892
516,903,2852.18,9.317178102
516,906,1885.85,1.667163937
517,516,989.89,6.339356999
517,518,163.76,6.927645573
517,908,486.05,2.616245706
517,909,135.93,4.562539755
518,517,357.84,6.927749629
518,911,179.05,5.405098204
518,912,68.97,1.726645637
518,930,0,10.854232
519,520,0,0.77728
519,521,2529.225019,2.847021053
519,668,2574.41,0.917777045
519,670,819.4971354,3.281695917
520,519,0,0.77728
521,511,4377.995019,3.509790986
521,519,1503.17,2.823640425
521,666,1243.68,0.620707332
521,670,432.52,4.04319515
522,511,820.36,4.87138049
522,523,2446.401329,7.601029271
523,522,820.36,7.538983396
523,530,6818.689199,3.485111753
523,545,4245.219268,0.131793906
524,525,2926.652613,3.41482687
524,545,4873.14,5.166831207
524,578,2272.518467,4.800243971
524,647,3042.59,1.634289027
525,452,3147.322613,2.460901361
525,524,5133.663855,3.897868587
525,652,1780.08,2.61887542
525,657,2296.647846,2.616277959
526,527,3731.470007,7.38943212
526,528,6050.113429,13.34797197
526,541,2144.906571,0.466904248
526,546,0,3.347526
527,526,3980.980348,7.733610478
527,542,25,0.6745216
527,543,3755.470007,4.90582605
527,546,1213.899652,4.379073917
528,526,4056.710007,10.82338838
528,529,3606.71,1.50255221
528,573,2856.493429,5.986850107
528,575,5713.480068,1.47530455
529,528,4938.020075,1.55366561
529,530,3612.59,2.155137625
529,531,10904.6192,2.714562827
530,523,3879.06,2.444680926
530,529,7297.909199,2.614433262
530,575,4716.48,3.166015772
530,577,2959.61,2.894479465
531,529,8550.610075,1.812998157
